path,path_length,fidelity_rate,loss
"[(6, 8), (7, 8), (7, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (8, 2)]",9,3.515625,85.9375
"[(3, 4), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (7, 7), (7, 8), (8, 8), (8, 9), (9, 9)]",12,2.734375,90.234375
"[(1, 7), (1, 6)]",2,46.09374999999999,0.0
"[(1, 2), (2, 2), (2, 3)]",3,33.59375,0.0
"[(9, 0), (8, 0), (8, 1), (7, 1), (7, 2), (6, 2), (6, 3), (5, 3), (5, 4), (4, 4), (4, 5), (3, 5), (3, 6), (2, 6), (1, 6), (0, 6)]",16,0.390625,92.96875
"[(7, 5), (8, 5), (8, 4), (9, 4), (9, 3), (9, 2), (9, 1), (9, 0)]",8,3.90625,83.59375
"[(5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (8, 5), (8, 6)]",7,5.46875,80.078125
"[(1, 3), (2, 3), (2, 2), (3, 2), (3, 1), (3, 0)]",6,7.03125,75.0
"[(6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]",11,1.953125,89.0625
"[(9, 2), (8, 2), (8, 3), (7, 3), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4)]",10,1.5625,87.5
"[(9, 4), (8, 4), (8, 5), (7, 5), (7, 6), (6, 6)]",6,7.8125,75.0
"[(1, 8), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)]",7,4.296875,80.078125
"[(9, 3), (8, 3), (8, 2), (7, 2), (7, 1), (6, 1)]",6,5.46875,75.0
"[(6, 7), (5, 7), (5, 6), (4, 6), (4, 5), (3, 5), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 2), (0, 1)]",13,1.5625,91.015625
"[(9, 9), (8, 9), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2)]",12,2.734375,90.234375
"[(3, 1), (4, 1), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0)]",8,4.296875,83.59375
"[(2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (5, 6), (6, 6), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0)]",15,2.34375,92.578125
"[(6, 2), (5, 2), (5, 3), (4, 3), (3, 3), (2, 3)]",6,6.25,75.0
"[(8, 7), (7, 7), (7, 6), (6, 6), (6, 5), (5, 5), (5, 4), (4, 4), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3)]",13,1.5625,91.015625
"[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",7,4.6875,80.078125
"[(4, 5), (3, 5), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (1, 1), (1, 0)]",9,3.515625,85.9375
"[(5, 6), (6, 6), (6, 5), (7, 5), (7, 4), (7, 3)]",6,5.859375,75.0
"[(0, 7), (1, 7), (1, 6), (2, 6), (2, 5)]",5,8.59375,66.796875
"[(4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5)]",8,3.125,83.59375
"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0)]",6,5.859375,75.0
"[(9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3)]",11,2.34375,89.0625
"[(3, 0), (4, 0), (5, 0), (6, 0), (7, 0)]",5,7.8125,66.796875
"[(7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (5, 6)]",6,5.078125,75.0
"[(2, 5), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6)]",9,3.125,85.9375
"[(5, 4), (4, 4), (4, 5), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)]",8,3.90625,83.59375
"[(6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7)]",8,4.6875,83.59375
"[(3, 8), (3, 7), (3, 6), (3, 5)]",4,10.9375,50.0
"[(5, 6), (6, 6), (6, 5), (7, 5)]",4,11.71875,50.0
"[(0, 9), (1, 9), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8)]",11,1.171875,89.0625
"[(7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)]",8,2.34375,83.59375
"[(7, 2), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)]",8,4.296875,83.59375
"[(5, 8), (6, 8), (6, 7), (6, 6), (6, 5)]",5,7.8125,66.796875
"[(9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9)]",7,4.296875,80.078125
"[(4, 7), (5, 7), (5, 6), (6, 6), (6, 5), (7, 5), (7, 4), (8, 4), (8, 3), (8, 2)]",10,3.125,87.5
"[(2, 7), (1, 7), (1, 6), (0, 6), (0, 5)]",5,8.59375,66.796875
"[(3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (6, 5), (6, 4), (7, 4), (7, 3), (8, 3), (8, 2), (9, 2), (9, 1), (9, 0)]",14,1.5625,91.796875
"[(6, 7), (7, 7), (7, 8)]",3,30.46875,0.0
"[(2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2)]",10,1.5625,87.5
"[(2, 6), (3, 6), (3, 5), (4, 5), (4, 4), (4, 3)]",6,4.296875,75.0
"[(3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (6, 5), (6, 4), (7, 4)]",8,4.296875,83.59375
"[(7, 8), (6, 8), (6, 7), (5, 7), (5, 6), (4, 6), (4, 5), (3, 5), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 2), (0, 1)]",15,2.34375,92.578125
"[(8, 6), (7, 6), (7, 5), (6, 5), (6, 4), (5, 4), (5, 3), (4, 3), (4, 2), (4, 1), (4, 0)]",11,1.953125,89.0625
"[(7, 9), (6, 9), (6, 8), (5, 8), (5, 7), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2)]",11,2.34375,89.0625
"[(5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]",6,4.296875,75.0
"[(0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",9,4.296875,85.9375
"[(9, 4), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)]",7,6.25,80.078125
"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]",7,5.078125,80.078125
"[(6, 8), (7, 8), (8, 8), (9, 8)]",4,17.578125,50.0
"[(4, 2), (5, 2), (6, 2)]",3,26.953125,0.0
